	chr	startpos	endpos	BAF	pval	LogR	ntot	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	frac2_A	SDfrac_A	SDfrac_A_BS	frac1_A_0.025	frac1_A_0.975	nMaj1_B	nMin1_B	frac1_B	nMaj2_B	nMin2_B	frac2_B	SDfrac_B	SDfrac_B_BS	frac1_B_0.025	frac1_B_0.975	nMaj1_C	nMin1_C	frac1_C	nMaj2_C	nMin2_C	frac2_C	SDfrac_C	SDfrac_C_BS	frac1_C_0.025	frac1_C_0.975	nMaj1_D	nMin1_D	frac1_D	nMaj2_D	nMin2_D	frac2_D	SDfrac_D	SDfrac_D_BS	frac1_D_0.025	frac1_D_0.975	nMaj1_E	nMin1_E	frac1_E	nMaj2_E	nMin2_E	frac2_E	SDfrac_E	SDfrac_E_BS	frac1_E_0.025	frac1_E_0.975	nMaj1_F	nMin1_F	frac1_F	nMaj2_F	nMin2_F	frac2_F	SDfrac_F	SDfrac_F_BS	frac1_F_0.025	frac1_F_0.975
1	1	762601	6717672	0.846620023783328	0.000000000000000000424462195706902	-0.211798421366695	2.31356967519796	2	0	0.751627883483842	3	0	0.248372116516158	0.0300012689340596	0.0303407003360671	0.688796290968736	0.813637445033291	1	0	0.375813941741922	3	0	0.624186058258078	0.0150006344670298	0.0151703501680335	0.344398145484368	0.406818722516646	2	0	0.875813941741922	4	0	0.124186058258078	0.0150006344670298	0.0151703501680335	0.844398145484369	0.906818722516645	3	0	0.86382950597204	3	1	0.13617049402796	0.00692249714718846	0.00700322944839611	0.849162350182061	0.877953366126314	3	0	0.93191475298602	3	2	0.0680852470139802	0.0034612485735942	0.00349247580772763	0.924701089720105	0.938642290183252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	1	45257727	46305362	0.70506414021723	1	0.764167114345104	4.99175818567305	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	1	46306583	50022402	0.611567047012632	0.000000000000237664042801622	0.110740293687267	2.81122484632726	1	1	0.139792048606907	2	1	0.860207951393092	0.0183052520700998	0.0184293057662584	0.102299502309054	0.173639586484233	0	1	0.0698960243034538	2	1	0.930103975696546	0.00915262603504991	0.00921465288312921	0.0511497511545271	0.0868197932421165	1	1	0.569896024303455	3	1	0.430103975696545	0.00915262603505013	0.00921465288312922	0.551149751154528	0.586819793242117	1	0	0.546355655320211	1	1	0.453644344679789	0.00738437685523918	0.00742206131197669	0.532462866803521	0.561081751148962	1	0	0.773177827660106	1	2	0.226822172339894	0.00369218842761959	0.00371103065598835	0.766231433401761	0.780540875574481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	1	145328809	249230279	0.626774126382	1	0.0895088539982069	2.75562197851388	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	2	10747	89161547	0.501197163205465	1	-0.379915104127209	1.7139230564414	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	2	89327931	242985493	0.501305745856164	1	-0.398900152681336	1.67850988700803	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	3	129643890	140916770	0.629042886652676	1	0.0620789812742222	2.68498698579449	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	3	141200951	166399946	0.625730708789148	1	-0.00503931152401093	2.51770902702568	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	6	89569254	90613748	0.503515286823648	1	0.612242229100628	4.39338359187124	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	7	80500	23669812	0.609253781826963	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355920012584802	0.0938004658339537	2.76679536251261	1	1	0.162614808286123	2	1	0.837385191713877	0.0058163314844133	0.00583830974888404	0.151158065316621	0.173639857661444	0	1	0.0813074041430615	2	1	0.918692595856939	0.00290816574220668	0.00288880958253694	0.0757338661650669	0.0869055029114466	1	1	0.581307404143062	3	1	0.418692595856938	0.0029081657422067	0.00289750112748371	0.57571440642441	0.587104630548624	1	0	0.537058786627659	1	1	0.462941213372341	0.00239244333582012	0.00248299960898501	0.532183321384256	0.541985384919144	1	0	0.768529393313829	1	2	0.231470606686171	0.00119622166791011	0.00120642735910374	0.766290410360214	0.770857046453336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
