chr1	124625310	124625320	1
chr2	121599686	121599696	2
chr3	99011215	99011225	3
chr4	95577138	95577148	4
chr5	90457630	90457640	5
chr6	85557534	85557544	6
chr7	79569332	79569342	7
chr8	73182011	73182021	8
chr9	70606716	70606726	9
chr10	67767374	67767384	10
chr11	67503258	67503268	11
chr12	66925948	66925958	12
chr13	57584939	57584949	13
chr14	53674770	53674780	14
chr15	51265696	51265706	15
chr16	45177376	45177386	16
chr17	40597605	40597615	17
chr18	39038624	39038634	18
chr19	29564492	29564502	19
chr20	31512760	31512770	20
chr21	24064948	24064958	21
chr22	25652283	25652293	22
chrX	77635280	77635290	X
chrY	29686783	29686793	Y
